bean_id,rating,aroma,acidity,body,flavor,aftertaste
1,92,9.0,8.0,8.0,9.0,8.0
2,95,9.0,9.0,9.0,9.0,9.0
3,90,8.0,8.0,9.0,8.0,7.0
4,93,9.0,9.0,8.0,9.0,8.0
5,91,8.0,8.0,8.0,9.0,8.0
6,92,8.0,8.0,9.0,9.0,8.0
7,94,9.0,9.0,9.0,9.0,8.0
8,95,9.0,9.0,9.0,9.0,9.0
9,91,8.0,9.0,8.0,9.0,7.0
10,92,8.0,8.0,9.0,9.0,8.0
11,91,8.0,8.0,8.0,9.0,8.0
12,93,9.0,8.0,9.0,9.0,8.0
13,90,8.0,8.0,8.0,8.0,8.0
14,91,8.0,8.0,9.0,9.0,7.0
15,94,9.0,9.0,9.0,9.0,8.0
16,91,8.0,8.0,8.0,9.0,8.0
17,92,9.0,8.0,8.0,9.0,8.0
18,94,9.0,9.0,9.0,9.0,8.0
19,94,9.0,9.0,9.0,9.0,8.0
20,93,9.0,8.0,9.0,9.0,8.0
21,94,9.0,9.0,9.0,9.0,8.0
22,92,9.0,8.0,8.0,9.0,8.0
23,91,8.0,8.0,8.0,9.0,8.0
24,96,9.0,9.0,9.0,10.0,9.0
25,94,9.0,9.0,9.0,9.0,8.0
26,93,9.0,9.0,8.0,9.0,8.0
27,94,9.0,9.0,9.0,9.0,8.0
28,95,9.0,9.0,9.0,9.0,9.0
29,94,9.0,9.0,9.0,9.0,8.0
30,90,8.0,8.0,8.0,8.0,8.0
31,95,9.0,9.0,9.0,9.0,9.0
32,95,9.0,9.0,9.0,9.0,9.0
33,93,9.0,8.0,9.0,9.0,8.0
34,91,9.0,8.0,8.0,9.0,7.0
35,92,8.0,8.0,9.0,9.0,8.0
36,94,9.0,9.0,9.0,9.0,8.0
37,93,9.0,8.0,9.0,9.0,8.0
38,93,9.0,9.0,8.0,9.0,8.0
39,94,9.0,9.0,9.0,9.0,8.0
40,92,9.0,8.0,8.0,9.0,8.0
41,96,9.0,9.0,9.0,10.0,9.0
42,92,9.0,8.0,8.0,9.0,8.0
43,92,9.0,8.0,8.0,9.0,8.0
44,93,9.0,8.0,9.0,9.0,8.0
45,90,8.0,7.0,9.0,9.0,7.0
46,93,9.0,8.0,9.0,9.0,8.0
47,93,9.0,8.0,9.0,9.0,8.0
48,93,9.0,8.0,9.0,9.0,8.0
49,95,9.0,9.0,9.0,9.0,9.0
50,93,9.0,9.0,8.0,9.0,8.0
51,91,8.0,8.0,8.0,9.0,8.0
52,93,9.0,8.0,9.0,9.0,8.0
53,93,9.0,8.0,9.0,9.0,8.0
54,93,9.0,8.0,9.0,9.0,8.0
55,93,9.0,9.0,8.0,9.0,8.0
56,93,9.0,8.0,8.0,9.0,9.0
57,90,8.0,8.0,8.0,9.0,7.0
58,96,9.0,9.0,9.0,10.0,9.0
59,93,9.0,9.0,8.0,9.0,8.0
60,94,9.0,9.0,9.0,9.0,8.0
61,92,9.0,8.0,8.0,9.0,8.0
62,94,9.0,9.0,9.0,9.0,8.0
63,95,9.0,9.0,9.0,9.0,9.0
64,92,9.0,8.0,8.0,9.0,8.0
65,95,9.0,9.0,9.0,9.0,9.0
66,95,9.0,9.0,9.0,9.0,9.0
67,95,9.0,9.0,9.0,9.0,9.0
68,93,9.0,8.0,9.0,9.0,8.0
