id,store_id,name,description,price,category,image_url
13,1,내추럴 오가닉 프루트티,,7500,,
32,3,아이스브륄레,,5500,,
63,7,초콜렛드링크,,6000,,
76,8,쑥차,,6500,,
119,17,Whisky,,0,,
144,24,크로아상,,5500,,
147,24,갈릭고구마 페스츄리,,5500,,
148,24,올리브 치아바타,,4200,,
149,24,명란치즈 치아바타,,5800,,
150,24,페파로니 치아바타,,5800,,
158,25,피스타치오 페스츄리,직접 개발한 피스타피오 크림과 버터의 풍미가 좋은 페스츄리,7000,,
185,28,[꽃 차],,5300,,
194,29,카모마일,,4500,,
227,32,크림브륄레,,5500,,
239,35,카모마일(Chamomile),,7000,,
262,36,프리미엄 메도우 카모마일 허브차,,4500,,
271,38,카소나드(Casonade),콜드블루 베이스에 부드러운 크림이 올라간 시원하고 달콤-고소한 음료입니다.,5300,,
278,39,Tea,,3000,,
293,43,Sparkling Ade,Orange / Pinkgrape / Lemon / Peach,8500,,
298,43,올리브 치아바타,"Olive Ciabatta
유기농 밀가루를 사용합니다",5300,,
299,43,연유버터라우겐,Butter Laugenstange,5700,,
301,43,뺑오쇼콜라,Paun Au Chocolat,5500,,
302,43,더블뺑오,Double Pain Au,5800,,
343,50,Tiramisu,,7000,,
347,50,Granita,,5000,,
359,52,Milk Tea,,6000,,
360,52,Ade,,6000,,
375,53,[Tea]피치우롱(우롱티),"HOT, ICE 가격 동일",5300,,
376,53,[Tea]후르츠 드림[과일티],"HOT, ICE 가격 동일",5300,,
377,53,마차슈(1ea),,3500,,
379,53,더치 마차 라떼,,7000,,
380,53,마차 라떼,,6500,,
433,62,레모네이드,,6500,,
457,64,마차라떼,,7000,,
458,64,유기농 머디블랙마차라떼,,7000,,
515,73,시그니쳐 초콜렛,,5500,,
516,73,"Tea(Black tea, Herbal tea)",,4000,,
565,83,과일라씨,,5500,,
566,83,플레인라씨,,5500,,
586,90,곤잘레스비야스 올로로소 셰리,"스페인 Jerez의 12년 솔레라숙성으로 바닐라, 무화과 뉘앙스가 매력적인 올로로소 셰리",8800,,
594,92,국산미숫가루,,4500,,
595,92,수제식혜,,5000,,
650,105,"HOT,ICE) 바닐라 티",,6500,,
651,105,"HOT, ICE) 카모마일",,7000,,
667,108,Crème brûlée[크렘 브륄레],커스터드 크림에 달콤한 설탕을 굳힌 디저트,7000,,
680,110,민트 레모네이드,,6500,,
714,117,할라피뇨치즈 치아바타,,5300,,
715,117,올리브 치아바타,,5000,,
718,117,뺑오쇼콜라,,4800,,
736,123,버터바,"고품질의 버터를 이용해 만든 겉바속쫀 디저트입니다.
따뜻한 사이폰 커피와 잘 어울려요 :)",4500,,
754,125,100% NFC ABC JUICE,건강을 원하신다면 추천매뉴,7500,,
790,136,수제초콜렛,,2000,,
796,139,크로아상,주문시 바로 굽는 패스트리,4500,,
797,139,뺑오 쇼콜라,주문시 바로 굽는 패스트리,5500,,
830,145,플레인치아바타,,3800,,
841,147,PASSIONFRUIT ADE,,6000,,
842,147,WINE AED,,6000,,
843,147,CHOCOLATE DRINK,,6500,,
849,148,Handmade Lemonade,,7000,,
850,148,Orange Juice,,7800,,
851,148,Maldives (Green Tea),,5000,,
852,148,Montreal Tea,,5000,,
854,148,Lamington,,7000,,
855,148,Tokyo Roll,,8000,,
856,148,Tiramisu Roll,,8000,,
871,151,카모마일미란지,,6000,,
873,151,피낭시에,,8000,,
878,151,초콜렛 드링크,,6000,,
887,154,하동쑥차,,5500,,
899,156,HERB TEA,,5000,,
903,157,미숫가루,,6000,,
937,166,Hazelnut Financier,버터의 풍미와 헤이즐넛 특유의 고소한 맛이 함께 어우러져 조화로운 맛의 피낭시에입니다.,3800,,
940,167,버터바 황치즈,,5800,,
951,170,미숫가루,맛있고 든든한데 영양까지 좋습니다. 100% 국내산 곡물들을 열심히 흔들어서 만들어요.,3800,,
954,171,감귤차,,6500,,
961,172,피낭시에 Financier,,3000,,
976,173,카모마일 메들리,Organic Chamomile Medly,5800,,
995,174,뺑오 쇼콜라,직접 만들었습니다.,5400,,
1013,178,스윗마테 Tea,,5000,,
1017,178,불고기 파니니,,10800,,
1025,179,피스타치오 페스츄리,직접 개발한 피스타피오 크림과 버터의 풍미가 좋은 페스츄리,7000,,
1044,184,Nana’s Pecan Pie,미국 할머니의 레시피 2 !,7000,,
1045,184,Coconut Cream Pie,미국 할머니의 레시피 1 !,7500,,
1129,199,치즈 치아바타,,5000,,
1130,199,치아바타,,4000,,
1141,199,불고기 파니니,,7000,,
1146,200,VIP실 예약,,0,,
1163,203,크로아상,,3000,,
1176,206,아이스 티 Peach Iced Tea,,4000,,
1178,206,Royal milk tea,,5500,,
1185,206,카모마일,,4000,,
1202,209,먹물치즈치아바타,,4400,,
1203,209,플레인치아바타,저온숙성으로 느리게 만든 쫄깃한 치아바타,3500,,
1342,230,꾸덕버터바(바닐라빈),,4500,,
1361,234,우롱피치,,5500,,
1373,236,수제 단호박 머핀,생단호박과 호두로 만든 수제 단호박 머핀,3800,,
1401,241,치즈올리브 치아바타,,4400,,
1403,241,길동 더티 뺑오,,5300,,
1406,241,쪽파 크림치즈 치아바타,,4800,,
1413,241,감자치즈 깜파뉴,,5800,,
1416,241,먹물치아바타,,4200,,
1418,241,올리브 치즈치아바타,,4200,,
1425,241,더티 뺑오,,4800,,
1429,241,"굳즈(티셔츠,에코백)",,0,,
1431,241,뺑오쇼콜라,,4200,,
1442,244,ICE 카모마일 티,,4500,,
1443,244,HOT 카모마일 티,,4500,,
1444,244,ICE 피치우롱 티,,4500,,
1445,244,HOT 피치우롱 티,,4500,,
