bean_id,flavor_id
1,70103
1,70201
1,80103
1,80401
1,90101
2,10101
2,10402
2,70202
2,80103
2,20105
3,70201
3,80103
3,70101
4,80104
4,20105
4,90201
4,70103
4,10403
5,10403
5,10202
5,60304
5,80102
5,20105
6,70202
6,70201
6,80103
6,902
7,10402
7,10403
7,70102
7,70201
7,20105
8,10401
8,20105
8,90202
8,70201
9,70201
9,10304
9,80103
9,90202
9,40104
9,20105
10,10404
10,70103
10,10302
10,70201
10,20105
11,40201
11,70201
11,701
11,80104
11,902
12,80104
12,70103
12,20105
12,90201
13,70202
13,401
13,80104
13,10308
13,701
14,70103
14,70201
14,902
15,10101
15,10103
15,20105
15,70202
15,90202
16,70202
16,80103
16,10307
16,70102
16,40104
17,50101
17,70103
17,70201
17,80103
17,90201
18,10304
18,20101
18,80104
18,70202
18,80103
19,10302
19,20105
19,20103
19,90203
19,40104
20,80103
20,70201
20,60301
20,20105
20,20203
21,10302
21,10402
21,70201
21,20105
21,80104
22,10308
22,20105
22,20101
22,702
22,90201
23,10201
23,70103
23,70202
23,40104
23,50303
24,90201
24,10401
24,20105
24,70102
24,70201
25,10104
25,10202
25,20105
25,90201
25,60302
26,90203
26,70201
26,20105
26,70103
26,40104
27,10404
27,70201
27,10401
27,10402
27,40108
28,10102
28,20105
28,20101
28,10201
28,80401
29,20201
29,10302
29,20105
29,10103
29,90201
30,10202
30,70101
30,90201
30,70201
31,90201
31,20105
31,30305
31,10102
31,10403
32,10401
32,20105
32,70201
32,20201
32,10305
33,10202
33,70201
33,90203
33,80101
33,20105
34,70202
34,80102
34,10302
34,50303
34,40104
35,70201
35,70103
35,80103
35,20201
36,10102
36,10403
36,70202
36,20105
37,70102
37,80104
37,80102
37,20105
37,20101
38,10202
38,70202
38,70201
38,902
38,80103
39,10305
39,70202
39,60301
39,20105
39,40202
40,10307
40,10401
40,70102
40,80101
41,70201
41,20201
41,801
41,80103
42,90202
42,10403
42,104
42,20105
42,10104
43,10301
43,10303
43,80104
43,20201
43,20203
44,60303
44,80103
44,10305
44,70201
45,70202
45,10201
45,40104
45,40107
45,40201
45,80401
45,80301
46,60302
46,10307
46,70201
46,70202
46,40104
46,80104
47,10101
47,20105
47,70201
47,80103
48,10304
48,90201
48,70103
48,80103
48,80101
49,10304
49,70202
49,20201
49,20105
49,803
49,20103
50,10102
50,70201
50,80104
50,90201
51,70201
51,60303
51,40104
51,90201
51,10404
52,20105
52,30305
52,90202
52,90203
52,80104
53,10103
53,80103
53,20105
53,30305
54,70202
54,10202
54,30305
54,20105
54,80401
55,10303
55,70202
55,80103
55,20105
55,90201
56,10402
56,70102
