id,menu_id,bean_id,is_blended
1,6,799,False
2,15,4,False
3,16,4,False
4,31,17,False
5,32,17,False
6,33,17,False
7,34,17,False
8,35,17,False
9,36,17,False
10,44,4,False
11,46,5,False
12,51,4,False
13,52,4,False
14,53,4,False
15,54,4,False
16,55,4,False
17,56,4,False
18,57,1,False
19,76,18,False
20,77,5,False
21,78,36,False
22,79,94,False
23,151,127,False
24,178,127,False
25,186,127,False
26,194,2,False
27,195,4,False
28,197,38,False
29,198,5,False
30,199,1,False
31,200,18,False
32,217,127,False
33,308,127,False
34,309,5,False
35,324,127,False
36,325,127,False
37,326,127,False
38,327,127,False
39,328,127,False
40,335,127,False
41,336,1,False
42,337,1,False
43,338,1,False
44,339,1,False
45,340,1,False
46,341,25,False
47,342,40,False
48,343,4,False
49,344,36,False
50,355,127,False
51,368,5,False
52,369,28,False
53,370,4,False
54,371,20,False
55,372,20,False
56,373,20,False
57,374,20,False
58,381,4,False
59,384,127,False
60,454,4,False
61,454,5,False
62,454,1,False
63,454,38,False
64,455,4,False
65,455,5,False
66,455,1,False
67,455,38,False
68,456,4,False
69,456,5,False
70,456,1,False
71,456,38,False
72,459,127,False
73,519,127,False
74,526,127,False
75,583,127,False
76,596,16,False
77,597,1,False
78,598,28,False
79,604,127,False
80,635,799,False
81,640,127,False
82,641,127,False
83,681,127,False
84,730,5,False
85,731,2,False
86,732,127,False
87,734,4,False
88,742,127,False
89,743,127,False
90,751,2,False
91,755,127,False
92,789,127,False
93,790,127,False
94,791,127,False
95,792,127,False
96,793,127,False
97,794,127,False
98,795,127,False
99,796,127,False
100,797,127,False
101,798,127,False
102,799,127,False
103,800,127,False
104,821,127,False
105,860,4,False
106,860,5,False
107,860,1,False
108,860,18,False
109,860,38,False
110,861,4,False
111,861,5,False
112,861,1,False
113,861,18,False
114,861,38,False
115,862,4,False
116,862,5,False
117,862,1,False
118,862,18,False
119,862,38,False
120,864,17,False
121,865,17,False
122,882,127,False
123,891,127,False
124,897,35,False
125,898,1,False
126,899,38,False
127,907,127,False
128,915,127,False
129,924,38,False
130,926,38,False
131,927,14,False
132,928,4,False
133,929,94,False
134,930,39,False
135,940,127,False
136,970,127,False
137,971,127,False
138,980,127,False
139,995,127,False
140,1010,127,False
141,1016,17,False
142,1017,17,False
143,1018,17,False
144,1019,17,False
145,1020,17,False
146,1021,17,False
147,1022,17,False
148,1023,127,False
149,1024,17,False
150,1025,17,False
151,1026,17,False
152,1027,17,False
153,1028,17,False
154,1042,127,False
155,1053,4,False
156,1054,28,False
157,1055,36,False
158,1056,1,False
159,1060,4,False
160,1061,4,False
161,1063,38,False
162,1080,127,False
163,1085,38,False
164,1087,4,False
165,1088,4,False
166,1089,4,False
167,1090,4,False
168,1091,4,False
169,1092,4,False
170,1093,4,False
171,1094,127,False
172,1095,4,False
173,1096,4,False
174,1097,4,False
175,1098,4,False
176,1099,4,False
177,1100,4,False
178,1101,4,False
179,1123,127,False
180,1147,127,False
181,1151,12,False
182,1152,38,False
183,1153,38,False
184,1154,5,False
185,1155,36,False
186,1156,28,False
187,1157,4,False
188,1157,5,False
189,1157,1,False
190,1157,18,False
191,1157,2,False
192,1158,4,False
193,1158,5,False
194,1158,1,False
195,1158,18,False
196,1158,2,False
197,1159,4,False
198,1159,5,False
199,1159,1,False
200,1159,18,False
201,1159,2,False
202,1160,4,False
203,1160,5,False
204,1160,1,False
205,1160,18,False
206,1160,2,False
207,1161,4,False
208,1161,5,False
209,1161,1,False
210,1161,18,False
211,1161,2,False
212,1162,127,False
213,1163,4,False
214,1163,5,False
215,1163,1,False
216,1163,18,False
217,1163,2,False
218,1164,4,False
219,1164,5,False
220,1164,1,False
221,1164,18,False
222,1164,2,False
223,1165,4,False
224,1165,5,False
225,1165,1,False
226,1165,18,False
227,1165,2,False
228,1182,32,False
229,1196,127,False
230,1210,4,False
231,1210,5,False
232,1210,1,False
233,1210,2,False
234,1210,38,False
235,1211,4,False
236,1211,5,False
237,1211,1,False
238,1211,2,False
239,1211,38,False
240,1212,4,False
241,1212,5,False
242,1212,1,False
243,1212,2,False
244,1212,38,False
245,1213,4,False
246,1213,5,False
247,1213,1,False
248,1213,2,False
249,1213,38,False
250,1214,4,False
251,1214,5,False
252,1214,1,False
253,1214,2,False
254,1214,38,False
255,1236,127,False
256,1254,20,False
257,1255,20,False
258,1256,20,False
259,1257,20,False
260,1269,127,False
261,1282,127,False
262,1296,898,False
263,1303,127,False
264,1308,127,False
265,1333,799,False
266,1334,799,False
267,1341,127,False
268,1342,127,False
269,1343,127,False
270,1344,127,False
